Team_Short_Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
RCB,19,24,36,39,37,28,15,29,42,34,45,34,48,47,51,68,54,76,68,64
MI,7,15,19,21,40,42,14,21,31,19,29,43,44,43,48,55,55,75,63,77
CSK,5,17,37,34,42,43,22,25,23,23,36,36,35,45,43,47,51,58,54,68
KXIP,10,17,24,34,27,34,18,30,29,27,33,34,44,34,40,47,37,53,49,53
DD,14,17,28,35,24,25,18,23,27,21,27,29,33,32,25,40,44,36,53,46
KKR,7,10,21,29,22,27,20,17,21,19,30,27,38,27,37,46,52,49,41,29
RR,12,7,13,21,22,24,15,24,20,26,30,33,39,38,34,36,45,34,37,26
DC,3,21,11,17,27,22,11,13,17,14,15,26,23,22,20,21,38,37,23,19
SRH,3,10,8,6,14,10,7,15,11,8,8,9,14,15,28,21,15,32,37,23
PW,5,6,6,7,7,3,5,10,9,6,13,5,10,13,13,16,13,12,18,19
RPS,0,2,1,1,5,5,4,3,1,1,2,2,1,1,7,6,6,9,2,9
GL,3,2,8,2,6,7,7,2,1,3,1,4,1,3,2,2,3,2,3,1
KTK,2,4,3,3,3,3,2,2,1,3,1,3,2,3,4,0,3,4,5,2
